age.grp,year,cap,n,ipd,c.and.i,cap_per_100k,ipd_per_100k,c.and.i_per_100k,prop.ipd
0-1m,2006,20,41432,8,28,48.27186715582159,19.308746862328636,67.58061401815021,0.2857142857142857
0-1m,2007,21,44181,6,27,47.53174441502003,13.580498404291438,61.112242819311476,0.2222222222222222
0-1m,2008,23,45392,5,28,50.66972153683468,11.015156855833627,61.68487839266832,0.17857142857142858
0-1m,2009,20,46060,8,28,43.421623968736434,17.368649587494573,60.79027355623101,0.2857142857142857
0-1m,2010,16,46432,4,20,34.45899379738112,8.61474844934528,43.0737422467264,0.2
0-1m,2011,16,45274,4,20,35.34037195741485,8.835092989353713,44.175464946768564,0.2
0-1m,2012,20,47661,4,24,41.96303057006777,8.392606114013553,50.35563668408132,0.16666666666666666
0-1m,2013,20,48503,6,26,41.2345628105478,12.370368843164341,53.60493165371214,0.23076923076923078
0-1m,2014,18,47964,8,26,37.52814610958219,16.679176048703194,54.207322158285386,0.3076923076923077
0-1m,2015,19,48267,6,25,39.364369030600614,12.430853378084404,51.79522240868502,0.24
0-1m,2016,17,49997,12,29,34.002040122407344,24.001440086405186,58.00348020881253,0.41379310344827586
0-1m,2017,17,47992,14,31,35.42257042840473,29.171528588098013,64.59409901650274,0.45161290322580644
0-1m,2018,19,47355,20,39,40.12247914686939,42.23418857565199,82.35666772252138,0.5128205128205128
0-1m,2019,18,47169,16,34,38.16065636328945,33.920583434035066,72.08123979732451,0.47058823529411764
1-4,2006,501,959086,118,619,52.23723420006131,12.30338051019408,64.5406147102554,0.19063004846526657
1-4,2007,524,982995,162,686,53.30647663518126,16.480246593319396,69.78672322850066,0.23615160349854228
1-4,2008,559,1020578,175,734,54.77288360125341,17.14714602901493,71.92002963026833,0.23841961852861035
1-4,2009,549,1057344,158,707,51.92255311421827,14.943102717753163,66.86565583197142,0.22347949080622348
1-4,2010,584,1081889,182,766,53.97965965085143,16.822428178861234,70.80208782971266,0.23759791122715404
1-4,2011,574,1092476,177,751,52.54119998974806,16.201728916699313,68.74292890644737,0.23568575233022637
1-4,2012,498,1114744,128,626,44.67393410505013,11.482456958727743,56.15639106377787,0.20447284345047922
1-4,2013,450,1139311,136,586,39.49755597900836,11.937039140322527,51.43459511933089,0.23208191126279865
1-4,2014,462,1159948,136,598,39.829371661488274,11.724663519399146,51.554035180887425,0.22742474916387959
1-4,2015,486,1169262,118,604,41.56467925922505,10.091835704914725,51.656514964139774,0.19536423841059603
1-4,2016,504,1179814,156,660,42.718598016297484,13.22242319552065,55.94102121181813,0.23636363636363636
1-4,2017,521,1197114,199,720,43.52133547849244,16.623312399654502,60.14464787814694,0.2763888888888889
1-4,2018,550,1193878,199,749,46.068358743523206,16.668369799929305,62.736728543452514,0.2656875834445928
1-4,2019,511,1188735,220,731,42.98687259986456,18.507068438297857,61.49394103816242,0.3009575923392613
15-24,2006,288,2725692,54,342,10.566124125543165,1.9811482735393435,12.547272399082509,0.15789473684210525
15-24,2007,274,2784019,41,315,9.84188685493885,1.4726910987317257,11.314577953670575,0.13015873015873017
15-24,2008,289,2849570,51,340,10.141881055738235,1.789743715718512,11.931624771456747,0.15
15-24,2009,307,2914912,54,361,10.532050367215202,1.8525430613342702,12.384593428549474,0.14958448753462603
15-24,2010,330,2931502,46,376,11.25702796723318,1.5691614742203828,12.826189441453561,0.12234042553191489
15-24,2011,331,2927671,57,388,11.305915179676951,1.9469400762585687,13.25285525593552,0.14690721649484537
15-24,2012,294,2947911,55,349,9.97316404735421,1.8657279680424546,11.838892015396667,0.15759312320916904
15-24,2013,255,2967073,30,285,8.594328484671594,1.0110974687848933,9.605425953456487,0.10526315789473684
15-24,2014,256,2983666,35,291,8.580048839246752,1.1730535522407668,9.75310239148752,0.12027491408934708
15-24,2015,302,2994026,28,330,10.086752753650103,0.935195619543718,11.021948373193819,0.08484848484848485
