age.grp,year,Js,n,n_per_100k
0-1m,2002,30,41470,72.34145165179648
0-1m,2003,30,41493,72.30135203528306
0-1m,2004,32,41968,76.24857033930614
0-1m,2005,30,42870,69.97900629811056
0-1m,2006,26,44481,58.451923293091426
0-1m,2007,27,47309,57.07159314295377
0-1m,2008,29,48536,59.74946431514752
0-1m,2009,26,49210,52.83478967689494
0-1m,2010,24,49573,48.4134508704335
0-1m,2011,23,48400,47.5206611570248
0-1m,2012,25,50786,49.226164691056596
0-1m,2013,24,51656,46.46120489391358
0-1m,2014,22,51056,43.08994045753682
0-1m,2015,24,51408,46.68534080298787
0-1m,2016,21,53143,39.51602280639031
0-1m,2017,19,51134,37.15727304728752
0-1m,2018,22,50568,43.50577440278437
0-1m,2019,22,50451,43.60666785593943
0-1m,2020,18,NA,NA
1-4yrs,2002,999,1020222,97.9198645000794
1-4yrs,2003,986,1020177,96.64989506722854
1-4yrs,2004,910,1018367,89.35874787772974
1-4yrs,2005,729,1020320,71.44817312215775
1-4yrs,2006,595,1027651,57.89903381595503
1-4yrs,2007,616,1052626,58.52031015764383
1-4yrs,2008,647,1091879,59.25565012240367
1-4yrs,2009,630,1130423,55.73135012291859
1-4yrs,2010,667,1156575,57.67027646283207
1-4yrs,2011,664,1167717,56.86309268427196
1-4yrs,2012,580,1189972,48.74064263696961
1-4yrs,2013,516,1214436,42.4888590259182
1-4yrs,2014,526,1235098,42.587713687496866
1-4yrs,2015,554,1244121,44.52943081902805
1-4yrs,2016,570,1254766,45.42679670950599
1-4yrs,2017,589,1272192,46.29804306268236
1-4yrs,2018,616,1268886,48.54652033358395
1-4yrs,2019,570,1264470,45.07817504567131
1-4yrs,2020,409,NA,NA
15-24yrs,2002,379,2667594,14.207559321246038
15-24yrs,2003,392,2710380,14.462916638995269
15-24yrs,2004,373,2748615,13.57047094627658
15-24yrs,2005,346,2794180,12.38288156095885
15-24yrs,2006,338,2841117,11.896729349759267
15-24yrs,2007,323,2903862,11.123118109607137
15-24yrs,2008,338,2973974,11.36526412134067
15-24yrs,2009,365,3043814,11.991534305315634
15-24yrs,2010,394,3065102,12.854384617542907
15-24yrs,2011,400,3065122,13.050051515078355
15-24yrs,2012,360,3089082,11.653947677659575
15-24yrs,2013,312,3111984,10.025758487190165
15-24yrs,2014,308,3132342,9.83289819566318
15-24yrs,2015,350,3146135,11.124761016294597
15-24yrs,2016,360,3169228,11.359233226514469
15-24yrs,2017,343,3201688,10.71309884036171
15-24yrs,2018,348,3230379,10.772729763287836
15-24yrs,2019,331,3261481,10.148763705813401
15-24yrs,2020,232,NA,NA
2-3m,2002,31,41470,74.75283337352303
2-3m,2003,29,41493,69.89130696744029
2-3m,2004,27,41968,64.33473122378956
2-3m,2005,22,42870,51.31793795194775
2-3m,2006,21,44481,47.21116881365077
2-3m,2007,22,47309,46.50277959796233
2-3m,2008,21,48536,43.266853469589584
2-3m,2009,21,49210,42.67425320056899
2-3m,2010,26,49573,52.447905109636295
2-3m,2011,23,48400,47.5206611570248
2-3m,2012,20,50786,39.38093175284527
2-3m,2013,19,51656,36.78178720768159
2-3m,2014,15,51056,29.37950485741147
2-3m,2015,17,51408,33.06878306878307
2-3m,2016,18,53143,33.87087669119169
2-3m,2017,14,51134,27.379043298001328
