Age_grp,serotype,n,disease,Indigenous.status,year
1-4,4,0,UNKNOWN,Non-Indigenous,2022
1-4,6B,0,UNKNOWN,Non-Indigenous,2022
1-4,9V,0,UNKNOWN,Non-Indigenous,2022
1-4,14,0,UNKNOWN,Non-Indigenous,2022
1-4,18C,0,UNKNOWN,Non-Indigenous,2022
1-4,19F,2,UNKNOWN,Non-Indigenous,2022
1-4,1,0,UNKNOWN,Non-Indigenous,2022
1-4,3,4,UNKNOWN,Non-Indigenous,2022
1-4,8,0,UNKNOWN,Non-Indigenous,2022
1-4,9N,1,UNKNOWN,Non-Indigenous,2022
1-4,10A,1,UNKNOWN,Non-Indigenous,2022
1-4,11A,2,UNKNOWN,Non-Indigenous,2022
1-4,12F,0,UNKNOWN,Non-Indigenous,2022
1-4,15B,1,UNKNOWN,Non-Indigenous,2022
1-4,17F,0,UNKNOWN,Non-Indigenous,2022
1-4,19A,0,UNKNOWN,Non-Indigenous,2022
1-4,22F,0,UNKNOWN,Non-Indigenous,2022
1-4,33F,1,UNKNOWN,Non-Indigenous,2022
1-4,6C,0,UNKNOWN,Non-Indigenous,2022
1-4,7C,0,UNKNOWN,Non-Indigenous,2022
1-4,13,0,UNKNOWN,Non-Indigenous,2022
1-4,15A,1,UNKNOWN,Non-Indigenous,2022
1-4,15C,2,UNKNOWN,Non-Indigenous,2022
1-4,16F,0,UNKNOWN,Non-Indigenous,2022
1-4,21,0,UNKNOWN,Non-Indigenous,2022
1-4,22A,0,UNKNOWN,Non-Indigenous,2022
1-4,23A,0,UNKNOWN,Non-Indigenous,2022
1-4,23B,2,UNKNOWN,Non-Indigenous,2022
1-4,31,0,UNKNOWN,Non-Indigenous,2022
1-4,33A,0,UNKNOWN,Non-Indigenous,2022
1-4,34,0,UNKNOWN,Non-Indigenous,2022
1-4,35A,0,UNKNOWN,Non-Indigenous,2022
1-4,35B,0,UNKNOWN,Non-Indigenous,2022
1-4,35F,2,UNKNOWN,Non-Indigenous,2022
1-4,38,0,UNKNOWN,Non-Indigenous,2022
1-4,Non typable,7,UNKNOWN,Non-Indigenous,2022
1-4,Unknown,0,UNKNOWN,Non-Indigenous,2022
5-14,4,0,UNKNOWN,Non-Indigenous,2022
5-14,6B,0,UNKNOWN,Non-Indigenous,2022
5-14,9V,1,UNKNOWN,Non-Indigenous,2022
5-14,14,0,UNKNOWN,Non-Indigenous,2022
5-14,18C,0,UNKNOWN,Non-Indigenous,2022
5-14,19F,2,UNKNOWN,Non-Indigenous,2022
5-14,1,0,UNKNOWN,Non-Indigenous,2022
5-14,3,6,UNKNOWN,Non-Indigenous,2022
5-14,8,0,UNKNOWN,Non-Indigenous,2022
5-14,9N,0,UNKNOWN,Non-Indigenous,2022
5-14,10A,2,UNKNOWN,Non-Indigenous,2022
5-14,11A,0,UNKNOWN,Non-Indigenous,2022
5-14,12F,0,UNKNOWN,Non-Indigenous,2022
5-14,15B,0,UNKNOWN,Non-Indigenous,2022
5-14,17F,1,UNKNOWN,Non-Indigenous,2022
5-14,19A,4,UNKNOWN,Non-Indigenous,2022
5-14,22F,0,UNKNOWN,Non-Indigenous,2022
5-14,33F,0,UNKNOWN,Non-Indigenous,2022
5-14,6C,0,UNKNOWN,Non-Indigenous,2022
5-14,7C,1,UNKNOWN,Non-Indigenous,2022
5-14,13,0,UNKNOWN,Non-Indigenous,2022
5-14,15A,0,UNKNOWN,Non-Indigenous,2022
5-14,15C,0,UNKNOWN,Non-Indigenous,2022
5-14,16F,1,UNKNOWN,Non-Indigenous,2022
5-14,21,1,UNKNOWN,Non-Indigenous,2022
5-14,22A,1,UNKNOWN,Non-Indigenous,2022
5-14,23A,0,UNKNOWN,Non-Indigenous,2022
5-14,23B,2,UNKNOWN,Non-Indigenous,2022
5-14,31,0,UNKNOWN,Non-Indigenous,2022
5-14,33A,0,UNKNOWN,Non-Indigenous,2022
5-14,34,1,UNKNOWN,Non-Indigenous,2022
5-14,35A,0,UNKNOWN,Non-Indigenous,2022
5-14,35B,0,UNKNOWN,Non-Indigenous,2022
5-14,35F,0,UNKNOWN,Non-Indigenous,2022
5-14,38,0,UNKNOWN,Non-Indigenous,2022
5-14,Non typable,2,UNKNOWN,Non-Indigenous,2022
5-14,Unknown,6,UNKNOWN,Non-Indigenous,2022
15-24,4,0,UNKNOWN,Non-Indigenous,2022
15-24,6B,0,UNKNOWN,Non-Indigenous,2022
15-24,9V,0,UNKNOWN,Non-Indigenous,2022
15-24,14,0,UNKNOWN,Non-Indigenous,2022
15-24,18C,0,UNKNOWN,Non-Indigenous,2022
15-24,19F,2,UNKNOWN,Non-Indigenous,2022
15-24,1,0,UNKNOWN,Non-Indigenous,2022
15-24,3,2,UNKNOWN,Non-Indigenous,2022
15-24,8,1,UNKNOWN,Non-Indigenous,2022
15-24,9N,1,UNKNOWN,Non-Indigenous,2022
15-24,10A,0,UNKNOWN,Non-Indigenous,2022
15-24,11A,0,UNKNOWN,Non-Indigenous,2022
15-24,12F,0,UNKNOWN,Non-Indigenous,2022
15-24,15B,0,UNKNOWN,Non-Indigenous,2022
15-24,17F,0,UNKNOWN,Non-Indigenous,2022
15-24,19A,1,UNKNOWN,Non-Indigenous,2022
15-24,22F,0,UNKNOWN,Non-Indigenous,2022
15-24,33F,1,UNKNOWN,Non-Indigenous,2022
15-24,6C,0,UNKNOWN,Non-Indigenous,2022
15-24,7C,0,UNKNOWN,Non-Indigenous,2022
15-24,13,0,UNKNOWN,Non-Indigenous,2022
15-24,15A,0,UNKNOWN,Non-Indigenous,2022
15-24,15C,0,UNKNOWN,Non-Indigenous,2022
15-24,16F,0,UNKNOWN,Non-Indigenous,2022
15-24,21,0,UNKNOWN,Non-Indigenous,2022
15-24,22A,0,UNKNOWN,Non-Indigenous,2022
15-24,23A,1,UNKNOWN,Non-Indigenous,2022
15-24,23B,1,UNKNOWN,Non-Indigenous,2022
15-24,31,0,UNKNOWN,Non-Indigenous,2022
15-24,33A,0,UNKNOWN,Non-Indigenous,2022
15-24,34,0,UNKNOWN,Non-Indigenous,2022
15-24,35A,0,UNKNOWN,Non-Indigenous,2022
15-24,35B,0,UNKNOWN,Non-Indigenous,2022
15-24,35F,0,UNKNOWN,Non-Indigenous,2022
15-24,38,0,UNKNOWN,Non-Indigenous,2022
15-24,Non typable,0,UNKNOWN,Non-Indigenous,2022
15-24,Unknown,1,UNKNOWN,Non-Indigenous,2022
25-49,4,1,UNKNOWN,Non-Indigenous,2022
25-49,6B,0,UNKNOWN,Non-Indigenous,2022
25-49,9V,1,UNKNOWN,Non-Indigenous,2022
25-49,14,0,UNKNOWN,Non-Indigenous,2022
25-49,18C,3,UNKNOWN,Non-Indigenous,2022
25-49,19F,10,UNKNOWN,Non-Indigenous,2022
25-49,1,0,UNKNOWN,Non-Indigenous,2022
25-49,3,14,UNKNOWN,Non-Indigenous,2022
25-49,8,10,UNKNOWN,Non-Indigenous,2022
25-49,9N,8,UNKNOWN,Non-Indigenous,2022
25-49,10A,1,UNKNOWN,Non-Indigenous,2022
25-49,11A,6,UNKNOWN,Non-Indigenous,2022
25-49,12F,2,UNKNOWN,Non-Indigenous,2022
25-49,15B,2,UNKNOWN,Non-Indigenous,2022
25-49,17F,0,UNKNOWN,Non-Indigenous,2022
25-49,19A,4,UNKNOWN,Non-Indigenous,2022
25-49,22F,8,UNKNOWN,Non-Indigenous,2022
25-49,33F,6,UNKNOWN,Non-Indigenous,2022
25-49,6C,2,UNKNOWN,Non-Indigenous,2022
25-49,7C,0,UNKNOWN,Non-Indigenous,2022
25-49,13,0,UNKNOWN,Non-Indigenous,2022
25-49,15A,0,UNKNOWN,Non-Indigenous,2022
25-49,15C,1,UNKNOWN,Non-Indigenous,2022
25-49,16F,0,UNKNOWN,Non-Indigenous,2022
