age.grp,serotype,disease,year,n.events,n,n_per_100k
0-1M,1,Bacteraemia,2005,0,42870,0
0-1M,1,Bacteraemia,2007,0,47309,0
0-1M,1,Bacteraemia,2009,0,49210,0
0-1M,1,Meningitis,2005,1,42870,2.332633543270352
0-1M,1,Meningitis,2006,1,44481,2.248150895888132
0-1M,1,Pneumonia,2005,1,42870,2.332633543270352
0-1M,1,Pneumonia,2011,0,48400,0
0-1M,10A,Bacteraemia,2007,0,47309,0
0-1M,10A,Bacteraemia,2008,0,48536,0
0-1M,10A,Bacteraemia,2009,0,49210,0
0-1M,10A,Bacteraemia,2012,0,50786,0
0-1M,10A,Bacteraemia,2013,0,51656,0
0-1M,10A,Bacteraemia,2014,0,51056,0
0-1M,10A,Bacteraemia,2016,0,53143,0
0-1M,10A,Bacteraemia,2017,0,51134,0
0-1M,10A,Bacteraemia,2020,0,NA,NA
0-1M,10A,Bacteraemia,2021,0,NA,NA
0-1M,10A,Bacteraemia,2022,0,NA,NA
0-1M,10A,Meningitis,2011,0,48400,0
0-1M,10A,Meningitis,2012,0,50786,0
0-1M,10A,Meningitis,2016,0,53143,0
0-1M,10A,Meningitis,2018,0,50568,0
0-1M,10A,Meningitis,2019,0,50451,0
0-1M,10A,Meningitis,2020,0,NA,NA
0-1M,10A,Meningitis,2021,0,NA,NA
0-1M,10A,Other,2017,0,51134,0
0-1M,10A,Pneumonia,2012,0,50786,0
0-1M,10A,Pneumonia,2022,0,NA,NA
0-1M,10A,UNKNOWN,2002,1,41470,2.411381721726549
0-1M,10A,UNKNOWN,2004,0,41968,0
0-1M,10A,UNKNOWN,2010,0,49573,0
0-1M,10A,UNKNOWN,2016,1,53143,1.8817153717328718
0-1M,10A,UNKNOWN,2019,0,50451,0
0-1M,10A,UNKNOWN,2022,0,NA,NA
0-1M,10F,Bacteraemia,2006,0,44481,0
0-1M,10F,UNKNOWN,2019,0,50451,0
0-1M,11A,Bacteraemia,2003,0,41493,0
0-1M,11A,Bacteraemia,2007,1,47309,2.1137627089982876
0-1M,11A,Bacteraemia,2013,0,51656,0
0-1M,11A,Bacteraemia,2014,0,51056,0
0-1M,11A,Bacteraemia,2016,1,53143,1.8817153717328718
0-1M,11A,Bacteraemia,2017,0,51134,0
0-1M,11A,Bacteraemia,2018,0,50568,0
0-1M,11A,Bacteraemia,2019,0,50451,0
0-1M,11A,Bacteraemia,2021,1,NA,NA
0-1M,11A,Bacteraemia,2022,0,NA,NA
0-1M,11A,Other,2007,1,47309,2.1137627089982876
0-1M,11A,Other,2016,0,53143,0
0-1M,11A,Pneumonia,2004,0,41968,0
0-1M,11A,Pneumonia,2007,1,47309,2.1137627089982876
0-1M,11A,Pneumonia,2009,1,49210,2.03210729526519
0-1M,11A,Pneumonia,2019,0,50451,0
0-1M,11A,UNKNOWN,2004,1,41968,2.382767823103317
0-1M,11A,UNKNOWN,2010,0,49573,0
0-1M,11A,UNKNOWN,2016,1,53143,1.8817153717328718
0-1M,11A,UNKNOWN,2018,1,50568,1.9775352001265623
0-1M,11A,UNKNOWN,2019,0,50451,0
0-1M,11A,UNKNOWN,2022,0,NA,NA
0-1M,12F,Bacteraemia,2002,0,41470,0
0-1M,12F,Bacteraemia,2013,0,51656,0
0-1M,12F,Bacteraemia,2018,0,50568,0
0-1M,12F,Meningitis,2011,1,48400,2.066115702479339
0-1M,12F,Meningitis,2019,0,50451,0
0-1M,12F,Other,2018,0,50568,0
0-1M,12F,Pneumonia,2007,0,47309,0
0-1M,12F,Pneumonia,2011,1,48400,2.066115702479339
0-1M,12F,Pneumonia,2013,0,51656,0
0-1M,12F,Pneumonia,2017,0,51134,0
0-1M,12F,Pneumonia,2021,0,NA,NA
0-1M,13,Bacteraemia,2022,0,NA,NA
0-1M,13,Meningitis,2015,0,51408,0
0-1M,14,Bacteraemia,2002,0,41470,0
0-1M,14,Bacteraemia,2003,0,41493,0
0-1M,14,Bacteraemia,2004,0,41968,0
0-1M,14,Bacteraemia,2005,0,42870,0
0-1M,14,Bacteraemia,2006,1,44481,2.248150895888132
0-1M,14,Meningitis,2002,1,41470,2.411381721726549
0-1M,14,Meningitis,2003,0,41493,0
0-1M,14,Meningitis,2004,1,41968,2.382767823103317
0-1M,14,Meningitis,2005,1,42870,2.332633543270352
0-1M,14,Meningitis,2006,1,44481,2.248150895888132
0-1M,14,Pneumonia,2004,0,41968,0
0-1M,14,Pneumonia,2005,0,42870,0
0-1M,14,Pneumonia,2017,0,51134,0
0-1M,14,Pneumonia,2018,0,50568,0
0-1M,14,UNKNOWN,2002,0,41470,0
0-1M,14,UNKNOWN,2003,0,41493,0
0-1M,14,UNKNOWN,2004,0,41968,0
0-1M,14,UNKNOWN,2005,1,42870,2.332633543270352
0-1M,15A,Bacteraemia,2014,0,51056,0
0-1M,15A,Bacteraemia,2016,0,53143,0
0-1M,15A,Bacteraemia,2017,0,51134,0
0-1M,15A,Bacteraemia,2018,1,50568,1.9775352001265623
0-1M,15A,Bacteraemia,2019,0,50451,0
0-1M,15A,Bacteraemia,2020,0,NA,NA
0-1M,15A,Bacteraemia,2022,0,NA,NA
0-1M,15A,Meningitis,2016,0,53143,0
0-1M,15A,Meningitis,2019,1,50451,1.9821212661790648
0-1M,15A,Meningitis,2020,0,NA,NA
0-1M,15A,Other,2016,0,53143,0
0-1M,15A,Other,2020,1,NA,NA
0-1M,15A,Pneumonia,2010,0,49573,0
0-1M,15A,Pneumonia,2017,0,51134,0
0-1M,15A,Pneumonia,2018,0,50568,0
0-1M,15A,UNKNOWN,2018,1,50568,1.9775352001265623
0-1M,15A,UNKNOWN,2020,0,NA,NA
0-1M,15A,UNKNOWN,2022,0,NA,NA
0-1M,15B,Bacteraemia,2002,0,41470,0
0-1M,15B,Bacteraemia,2003,0,41493,0
0-1M,15B,Bacteraemia,2004,0,41968,0
0-1M,15B,Bacteraemia,2005,0,42870,0
0-1M,15B,Bacteraemia,2006,0,44481,0
0-1M,15B,Bacteraemia,2007,0,47309,0
0-1M,15B,Bacteraemia,2009,0,49210,0
0-1M,15B,Bacteraemia,2012,0,50786,0
0-1M,15B,Bacteraemia,2013,0,51656,0
0-1M,15B,Bacteraemia,2014,0,51056,0
0-1M,15B,Bacteraemia,2015,0,51408,0
0-1M,15B,Bacteraemia,2016,0,53143,0
0-1M,15B,Bacteraemia,2017,0,51134,0
0-1M,15B,Bacteraemia,2020,0,NA,NA
0-1M,15B,Bacteraemia,2021,0,NA,NA
0-1M,15B,Bacteraemia,2022,0,NA,NA
0-1M,15B,Meningitis,2017,0,51134,0
0-1M,15B,Meningitis,2018,1,50568,1.9775352001265623
0-1M,15B,Meningitis,2020,0,NA,NA
0-1M,15B,Meningitis,2021,0,NA,NA
0-1M,15B,Other,2013,0,51656,0
0-1M,15B,Other,2017,1,51134,1.9556459498572378
0-1M,15B,Other,2018,0,50568,0
0-1M,15B,Pneumonia,2011,0,48400,0
0-1M,15B,Pneumonia,2012,0,50786,0
0-1M,15B,Pneumonia,2017,0,51134,0
0-1M,15B,Pneumonia,2018,0,50568,0
0-1M,15B,Pneumonia,2019,0,50451,0
0-1M,15B,Pneumonia,2021,0,NA,NA
0-1M,15B,UNKNOWN,2002,0,41470,0
0-1M,15B,UNKNOWN,2004,0,41968,0
0-1M,15B,UNKNOWN,2020,0,NA,NA
0-1M,15B,UNKNOWN,2021,0,NA,NA
0-1M,15B,UNKNOWN,2022,0,NA,NA
0-1M,15C,Bacteraemia,2003,0,41493,0
0-1M,15C,Bacteraemia,2004,0,41968,0
0-1M,15C,Bacteraemia,2005,0,42870,0
0-1M,15C,Bacteraemia,2006,1,44481,2.248150895888132
0-1M,15C,Bacteraemia,2007,0,47309,0
0-1M,15C,Bacteraemia,2009,0,49210,0
0-1M,15C,Bacteraemia,2011,0,48400,0
0-1M,15C,Bacteraemia,2012,0,50786,0
0-1M,15C,Bacteraemia,2013,1,51656,1.9358835372463994
0-1M,15C,Bacteraemia,2014,0,51056,0
0-1M,15C,Bacteraemia,2015,0,51408,0
0-1M,15C,Bacteraemia,2016,0,53143,0
0-1M,15C,Bacteraemia,2017,0,51134,0
0-1M,15C,Bacteraemia,2018,0,50568,0
0-1M,15C,Bacteraemia,2019,0,50451,0
0-1M,15C,Bacteraemia,2020,0,NA,NA
0-1M,15C,Bacteraemia,2021,1,NA,NA
0-1M,15C,Bacteraemia,2022,0,NA,NA
0-1M,15C,Meningitis,2008,0,48536,0
0-1M,15C,Meningitis,2009,0,49210,0
0-1M,15C,Meningitis,2015,0,51408,0
0-1M,15C,Meningitis,2021,0,NA,NA
0-1M,15C,Meningitis,2022,0,NA,NA
0-1M,15C,Other,2017,0,51134,0
0-1M,15C,Other,2018,0,50568,0
0-1M,15C,Pneumonia,2010,0,49573,0
0-1M,15C,Pneumonia,2017,0,51134,0
0-1M,15C,Pneumonia,2021,0,NA,NA
0-1M,15C,UNKNOWN,2003,0,41493,0
0-1M,15C,UNKNOWN,2008,0,48536,0
0-1M,15C,UNKNOWN,2014,0,51056,0
0-1M,15C,UNKNOWN,2018,0,50568,0
0-1M,15C,UNKNOWN,2020,1,NA,NA
0-1M,15C,UNKNOWN,2022,0,NA,NA
0-1M,16F,Bacteraemia,2006,0,44481,0
0-1M,16F,Bacteraemia,2009,0,49210,0
0-1M,16F,Bacteraemia,2011,1,48400,2.066115702479339
0-1M,16F,Bacteraemia,2014,0,51056,0
0-1M,16F,Bacteraemia,2015,0,51408,0
0-1M,16F,Bacteraemia,2018,0,50568,0
0-1M,16F,Bacteraemia,2019,0,50451,0
0-1M,16F,Bacteraemia,2020,0,NA,NA
0-1M,16F,Meningitis,2009,0,49210,0
0-1M,16F,Meningitis,2018,1,50568,1.9775352001265623
0-1M,16F,Other,2018,0,50568,0
0-1M,16F,Pneumonia,2008,1,48536,2.060326355694742
0-1M,16F,Pneumonia,2019,1,50451,1.9821212661790648
0-1M,16F,Pneumonia,2020,0,NA,NA
0-1M,16F,Pneumonia,2021,0,NA,NA
0-1M,16F,UNKNOWN,2004,0,41968,0
0-1M,16F,UNKNOWN,2021,0,NA,NA
0-1M,17F,Bacteraemia,2003,0,41493,0
0-1M,17F,Bacteraemia,2005,0,42870,0
0-1M,17F,Bacteraemia,2008,0,48536,0
0-1M,17F,Bacteraemia,2012,0,50786,0
0-1M,17F,Bacteraemia,2020,0,NA,NA
0-1M,17F,Bacteraemia,2021,0,NA,NA
0-1M,17F,Other,2017,0,51134,0
0-1M,17F,Pneumonia,2009,0,49210,0
0-1M,18A,Bacteraemia,2018,0,50568,0
0-1M,18B,Meningitis,2004,0,41968,0
0-1M,18C,Bacteraemia,2002,0,41470,0
0-1M,18C,Bacteraemia,2003,0,41493,0
0-1M,18C,Bacteraemia,2004,0,41968,0
0-1M,18C,Bacteraemia,2005,1,42870,2.332633543270352
0-1M,18C,Bacteraemia,2006,1,44481,2.248150895888132
0-1M,18C,Bacteraemia,2008,0,48536,0
0-1M,18C,Bacteraemia,2019,0,50451,0
0-1M,18C,Bacteraemia,2022,1,NA,NA
0-1M,18C,Meningitis,2002,0,41470,0
0-1M,18C,Meningitis,2004,0,41968,0
0-1M,18C,Meningitis,2009,0,49210,0
0-1M,18C,Meningitis,2021,0,NA,NA
0-1M,18C,Pneumonia,2004,0,41968,0
0-1M,18C,Pneumonia,2005,0,42870,0
0-1M,18C,UNKNOWN,2002,0,41470,0
0-1M,18C,UNKNOWN,2003,0,41493,0
0-1M,18C,UNKNOWN,2004,0,41968,0
0-1M,18C,UNKNOWN,2019,0,50451,0
0-1M,19A,Bacteraemia,2002,0,41470,0
0-1M,19A,Bacteraemia,2003,0,41493,0
0-1M,19A,Bacteraemia,2004,0,41968,0
0-1M,19A,Bacteraemia,2005,0,42870,0
0-1M,19A,Bacteraemia,2006,0,44481,0
0-1M,19A,Bacteraemia,2007,0,47309,0
0-1M,19A,Bacteraemia,2008,2,48536,4.120652711389484
0-1M,19A,Bacteraemia,2009,0,49210,0
0-1M,19A,Bacteraemia,2011,0,48400,0
0-1M,19A,Bacteraemia,2012,0,50786,0
0-1M,19A,Bacteraemia,2013,1,51656,1.9358835372463994
0-1M,19A,Bacteraemia,2014,0,51056,0
0-1M,19A,Bacteraemia,2015,0,51408,0
0-1M,19A,Bacteraemia,2016,0,53143,0
0-1M,19A,Bacteraemia,2017,1,51134,1.9556459498572378
0-1M,19A,Bacteraemia,2018,1,50568,1.9775352001265623
0-1M,19A,Bacteraemia,2019,1,50451,1.9821212661790648
0-1M,19A,Bacteraemia,2020,0,NA,NA
0-1M,19A,Bacteraemia,2021,0,NA,NA
0-1M,19A,Meningitis,2002,0,41470,0
0-1M,19A,Meningitis,2005,0,42870,0
0-1M,19A,Meningitis,2006,0,44481,0
0-1M,19A,Meningitis,2008,0,48536,0
0-1M,19A,Meningitis,2009,1,49210,2.03210729526519
0-1M,19A,Meningitis,2010,1,49573,2.017227119601396
0-1M,19A,Meningitis,2011,0,48400,0
0-1M,19A,Meningitis,2012,0,50786,0
0-1M,19A,Meningitis,2014,0,51056,0
0-1M,19A,Meningitis,2020,1,NA,NA
0-1M,19A,Other,2005,0,42870,0
0-1M,19A,Other,2007,0,47309,0
0-1M,19A,Other,2008,0,48536,0
0-1M,19A,Other,2017,0,51134,0
0-1M,19A,Other,2018,0,50568,0
0-1M,19A,Pneumonia,2004,0,41968,0
0-1M,19A,Pneumonia,2005,0,42870,0
0-1M,19A,Pneumonia,2007,0,47309,0
0-1M,19A,Pneumonia,2008,0,48536,0
0-1M,19A,Pneumonia,2009,1,49210,2.03210729526519
0-1M,19A,Pneumonia,2010,0,49573,0
0-1M,19A,Pneumonia,2011,0,48400,0
0-1M,19A,Pneumonia,2012,0,50786,0
0-1M,19A,Pneumonia,2013,1,51656,1.9358835372463994
0-1M,19A,Pneumonia,2017,0,51134,0
0-1M,19A,Pneumonia,2018,1,50568,1.9775352001265623
0-1M,19A,Pneumonia,2019,0,50451,0
0-1M,19A,Pneumonia,2020,0,NA,NA
0-1M,19A,Pneumonia,2021,0,NA,NA
0-1M,19A,UNKNOWN,2003,0,41493,0
0-1M,19A,UNKNOWN,2004,0,41968,0
0-1M,19A,UNKNOWN,2008,0,48536,0
0-1M,19A,UNKNOWN,2010,0,49573,0
0-1M,19A,UNKNOWN,2011,0,48400,0
0-1M,19A,UNKNOWN,2014,1,51056,1.9586336571607645
0-1M,19A,UNKNOWN,2019,0,50451,0
0-1M,19A,UNKNOWN,2021,0,NA,NA
0-1M,19A,UNKNOWN,2022,0,NA,NA
0-1M,19B,Bacteraemia,2002,0,41470,0
0-1M,19F,Bacteraemia,2002,1,41470,2.411381721726549
0-1M,19F,Bacteraemia,2003,1,41493,2.4100450678427685
0-1M,19F,Bacteraemia,2004,1,41968,2.382767823103317
0-1M,19F,Bacteraemia,2005,1,42870,2.332633543270352
0-1M,19F,Bacteraemia,2006,0,44481,0
0-1M,19F,Bacteraemia,2007,1,47309,2.1137627089982876
0-1M,19F,Bacteraemia,2008,0,48536,0
0-1M,19F,Bacteraemia,2009,0,49210,0
0-1M,19F,Bacteraemia,2011,0,48400,0
0-1M,19F,Bacteraemia,2012,0,50786,0
0-1M,19F,Bacteraemia,2013,0,51656,0
0-1M,19F,Bacteraemia,2014,1,51056,1.9586336571607645
0-1M,19F,Bacteraemia,2015,1,51408,1.9452225334578277
0-1M,19F,Bacteraemia,2016,2,53143,3.7634307434657437
0-1M,19F,Bacteraemia,2017,2,51134,3.9112918997144757
0-1M,19F,Bacteraemia,2018,2,50568,3.9550704002531245
0-1M,19F,Bacteraemia,2019,2,50451,3.9642425323581296
0-1M,19F,Bacteraemia,2020,4,NA,NA
0-1M,19F,Bacteraemia,2021,0,NA,NA
0-1M,19F,Bacteraemia,2022,1,NA,NA
0-1M,19F,Meningitis,2002,0,41470,0
0-1M,19F,Meningitis,2014,0,51056,0
0-1M,19F,Meningitis,2015,0,51408,0
0-1M,19F,Meningitis,2018,0,50568,0
0-1M,19F,Meningitis,2021,1,NA,NA
0-1M,19F,Meningitis,2022,1,NA,NA
0-1M,19F,Other,2008,1,48536,2.060326355694742
0-1M,19F,Other,2017,0,51134,0
0-1M,19F,Other,2018,0,50568,0
0-1M,19F,Pneumonia,2004,0,41968,0
0-1M,19F,Pneumonia,2005,0,42870,0
0-1M,19F,Pneumonia,2009,1,49210,2.03210729526519
0-1M,19F,Pneumonia,2010,0,49573,0
0-1M,19F,Pneumonia,2012,0,50786,0
0-1M,19F,Pneumonia,2013,0,51656,0
0-1M,19F,Pneumonia,2017,2,51134,3.9112918997144757
0-1M,19F,Pneumonia,2018,0,50568,0
0-1M,19F,Pneumonia,2019,2,50451,3.9642425323581296
0-1M,19F,Pneumonia,2021,0,NA,NA
0-1M,19F,UNKNOWN,2002,1,41470,2.411381721726549
0-1M,19F,UNKNOWN,2003,1,41493,2.4100450678427685
0-1M,19F,UNKNOWN,2004,0,41968,0
0-1M,19F,UNKNOWN,2005,0,42870,0
0-1M,19F,UNKNOWN,2019,0,50451,0
0-1M,19F,UNKNOWN,2020,0,NA,NA
0-1M,20,Meningitis,2003,0,41493,0
0-1M,20,Meningitis,2008,0,48536,0
0-1M,21,Bacteraemia,2015,0,51408,0
0-1M,21,Bacteraemia,2017,0,51134,0
0-1M,21,Bacteraemia,2018,0,50568,0
0-1M,21,Bacteraemia,2020,0,NA,NA
0-1M,21,Bacteraemia,2021,0,NA,NA
0-1M,21,Bacteraemia,2022,0,NA,NA
0-1M,21,Meningitis,2014,0,51056,0
0-1M,21,Meningitis,2019,0,50451,0
0-1M,21,Meningitis,2022,0,NA,NA
0-1M,21,Other,2018,0,50568,0
0-1M,21,Pneumonia,2012,1,50786,1.9690465876422638
0-1M,21,Pneumonia,2017,0,51134,0
0-1M,21,Pneumonia,2021,0,NA,NA
0-1M,22A,Bacteraemia,2002,0,41470,0
0-1M,22F,Bacteraemia,2003,0,41493,0
0-1M,22F,Bacteraemia,2004,0,41968,0
0-1M,22F,Bacteraemia,2005,0,42870,0
0-1M,22F,Bacteraemia,2007,0,47309,0
0-1M,22F,Bacteraemia,2008,0,48536,0
0-1M,22F,Bacteraemia,2009,0,49210,0
0-1M,22F,Bacteraemia,2011,0,48400,0
0-1M,22F,Bacteraemia,2012,0,50786,0
0-1M,22F,Bacteraemia,2013,0,51656,0
0-1M,22F,Bacteraemia,2014,0,51056,0
0-1M,22F,Bacteraemia,2015,0,51408,0
0-1M,22F,Bacteraemia,2016,0,53143,0
0-1M,22F,Bacteraemia,2017,0,51134,0
0-1M,22F,Bacteraemia,2018,1,50568,1.9775352001265623
0-1M,22F,Bacteraemia,2019,1,50451,1.9821212661790648
0-1M,22F,Bacteraemia,2020,0,NA,NA
0-1M,22F,Bacteraemia,2021,0,NA,NA
0-1M,22F,Bacteraemia,2022,1,NA,NA
0-1M,22F,Meningitis,2002,0,41470,0
0-1M,22F,Meningitis,2008,0,48536,0
0-1M,22F,Meningitis,2009,0,49210,0
0-1M,22F,Meningitis,2010,0,49573,0
0-1M,22F,Meningitis,2018,0,50568,0
0-1M,22F,Meningitis,2020,0,NA,NA
0-1M,22F,Meningitis,2021,0,NA,NA
0-1M,22F,Other,2005,0,42870,0
0-1M,22F,Other,2007,0,47309,0
0-1M,22F,Pneumonia,2004,0,41968,0
