age.grp,year,PCV7s,PCV13s,PCV13s_not7,PPV23s,PPV23s_not13,not_VT,total,prop.PCV7,prop.PCV13,prop.PCV13_not7,prop.PPV23,prop.PPV23_not13,prop.notVT,prop.VT
0-1M,2006,4,7,3,7,0,1,8,0.5,0.875,0.375,0.875,0,0.125,0.875
0-1M,2007,2,3,1,5,2,1,6,0.3333333333333333,0.5,0.16666666666666666,0.8333333333333334,0.3333333333333333,0.16666666666666666,0.8333333333333334
0-1M,2008,1,3,2,3,0,2,5,0.2,0.6,0.4,0.6,0,0.4,0.6
0-1M,2009,1,5,4,6,2,1,8,0.125,0.625,0.5,0.75,0.25,0.125,0.875
0-1M,2010,0,1,1,2,1,2,4,0,0.25,0.25,0.5,0.25,0.5,0.5
0-1M,2011,0,0,0,2,2,2,4,0,0,0,0.5,0.5,0.5,0.5
0-1M,2012,0,2,2,2,0,2,4,0,0.5,0.5,0.5,0,0.5,0.5
0-1M,2013,0,4,4,4,0,2,6,0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0,0.3333333333333333,0.6666666666666667
0-1M,2014,1,4,3,4,0,4,8,0.125,0.5,0.375,0.5,0,0.5,0.5
0-1M,2015,1,2,1,2,0,4,6,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.3333333333333333,0,0.6666666666666666,0.33333333333333337
0-1M,2016,3,7,4,9,2,3,12,0.25,0.5833333333333334,0.3333333333333333,0.75,0.16666666666666666,0.25,0.75
0-1M,2017,3,6,3,8,2,6,14,0.21428571428571427,0.42857142857142855,0.21428571428571427,0.5714285714285714,0.14285714285714285,0.42857142857142855,0.5714285714285714
0-1M,2018,2,8,6,13,5,7,20,0.1,0.4,0.3,0.65,0.25,0.35,0.65
0-1M,2019,2,8,6,10,2,6,16,0.125,0.5,0.375,0.625,0.125,0.375,0.625
1-4,2006,51,88,37,92,11,19,118,0.4322033898305085,0.7457627118644068,0.3135593220338983,0.7796610169491526,0.09322033898305085,0.16101694915254236,0.8389830508474576
1-4,2007,21,101,80,124,26,35,162,0.12962962962962962,0.6234567901234568,0.49382716049382713,0.7654320987654321,0.16049382716049382,0.21604938271604937,0.7839506172839507
1-4,2008,20,113,93,130,18,44,175,0.11428571428571428,0.6457142857142857,0.5314285714285715,0.7428571428571429,0.10285714285714286,0.25142857142857145,0.7485714285714286
1-4,2009,11,109,98,119,13,36,158,0.06962025316455696,0.689873417721519,0.620253164556962,0.7531645569620253,0.08227848101265822,0.22784810126582278,0.7721518987341772
1-4,2010,8,122,114,142,21,39,182,0.04395604395604396,0.6703296703296703,0.6263736263736264,0.7802197802197802,0.11538461538461539,0.21428571428571427,0.7857142857142857
1-4,2011,5,123,118,136,14,40,177,0.02824858757062147,0.6949152542372882,0.6666666666666666,0.768361581920904,0.07909604519774012,0.22598870056497175,0.7740112994350282
1-4,2012,8,72,64,92,20,36,128,0.0625,0.5625,0.5,0.71875,0.15625,0.28125,0.71875
1-4,2013,5,51,46,88,37,48,136,0.03676470588235294,0.375,0.3382352941176471,0.6470588235294118,0.27205882352941174,0.35294117647058826,0.6470588235294117
1-4,2014,9,56,47,81,26,54,136,0.0661764705882353,0.4117647058823529,0.34558823529411764,0.5955882352941176,0.19117647058823528,0.39705882352941174,0.6029411764705883
1-4,2015,16,48,32,64,16,54,118,0.13559322033898305,0.4067796610169492,0.2711864406779661,0.5423728813559322,0.13559322033898305,0.4576271186440678,0.5423728813559322
1-4,2016,14,58,44,82,25,73,156,0.08974358974358974,0.3717948717948718,0.28205128205128205,0.5256410256410257,0.16025641025641027,0.46794871794871795,0.532051282051282
1-4,2017,14,73,59,98,25,101,199,0.07035175879396985,0.36683417085427134,0.2964824120603015,0.49246231155778897,0.12562814070351758,0.507537688442211,0.49246231155778897
1-4,2018,18,83,65,101,18,98,199,0.09045226130653267,0.41708542713567837,0.32663316582914576,0.507537688442211,0.09045226130653267,0.49246231155778897,0.507537688442211
1-4,2019,19,101,82,125,24,95,220,0.08636363636363636,0.4590909090909091,0.37272727272727274,0.5681818181818182,0.10909090909090909,0.4318181818181818,0.5681818181818181
15-24,2006,32,41,9,48,8,5,54,0.5925925925925926,0.7592592592592593,0.16666666666666666,0.8888888888888888,0.14814814814814814,0.09259259259259259,0.9074074074074074
15-24,2007,11,28,17,32,5,8,41,0.2682926829268293,0.6829268292682927,0.4146341463414634,0.7804878048780488,0.12195121951219512,0.1951219512195122,0.8048780487804879
