age.grp,year,prop.PCV7,prop.PCV13,prop.PCV15,prop.PCV20,prop.PPV23,prop.V116,prop.PCV13_not7,prop.PCV15s_not13,prop.PCV20s_not15,prop.V116s_notPPV23s,prop.notVT,prop.V116s_notPCV20s,prop.PPV23_not13,prop.V116_only,prop.PPV23s_not20,prop.st8,total,PCV7s,PCV13s,PCV15s,PCV20s,PPV23s,V116s,PCV13s_not7,PCV15s_not13,PCV20s_not15,V116s_notPPV23s,not_VT,V116s_notPCV20s,PPV23s_not13,V116_only,PPV23s_not20,st8
0-1M,2002,0.6,0.6,0.6,0.8,0.8,0.2,0.0,0.0,0.2,0.0,0.2,0.0,0.2,0.0,0.0,0.0,5,3,3,3,4,4,1,0,0,1,0,1,0,1,0,0,0
0-1M,2003,0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,4,3,3,3,3,3,0,0,0,0,0,1,0,0,0,0,0
0-1M,2004,0.25,0.417,0.417,0.5,0.5,0.333,0.167,0.0,0.083,0.083,0.417,0.083,0.083,0.083,0.0,0.0,12,3,5,5,6,6,4,2,0,1,1,5,1,1,1,0,0
0-1M,2005,0.667,0.889,0.889,0.889,0.889,0.111,0.222,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,9,6,8,8,8,8,1,2,0,0,0,1,0,0,0,0,0
0-1M,2006,0.5,0.875,0.875,0.875,0.875,0.375,0.375,0.0,0.0,0.125,0.0,0.125,0.0,0.125,0.0,0.0,8,4,7,7,7,7,3,3,0,0,1,0,1,0,1,0,0
0-1M,2007,0.333,0.5,0.5,0.833,0.833,0.5,0.167,0.0,0.333,0.0,0.167,0.0,0.333,0.0,0.0,0.0,6,2,3,3,5,5,3,1,0,2,0,1,0,2,0,0,0
0-1M,2008,0.2,0.6,0.6,0.6,0.6,0.4,0.4,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,5,1,3,3,3,3,2,2,0,0,0,2,0,0,0,0,0
0-1M,2009,0.125,0.625,0.625,0.875,0.75,0.75,0.5,0.0,0.25,0.125,0.125,0.0,0.25,0.0,0.0,0.125,8,1,5,5,7,6,6,4,0,2,1,1,0,2,0,0,1
0-1M,2010,0.0,0.25,0.5,0.5,0.5,0.75,0.25,0.25,0.0,0.25,0.25,0.25,0.25,0.25,0.0,0.0,4,0,1,2,2,2,3,1,1,0,1,1,1,1,1,0,0
0-1M,2011,0.0,0.0,0.25,0.5,0.5,0.75,0.0,0.25,0.25,0.25,0.25,0.25,0.5,0.25,0.0,0.0,4,0,0,1,2,2,3,0,1,1,1,1,1,2,1,0,0
0-1M,2012,0.0,0.5,0.5,0.5,0.5,0.75,0.5,0.0,0.0,0.25,0.25,0.25,0.0,0.25,0.0,0.0,4,0,2,2,2,2,3,2,0,0,1,1,1,0,1,0,0
0-1M,2013,0.0,0.667,0.667,0.667,0.667,0.833,0.667,0.0,0.0,0.167,0.167,0.167,0.0,0.167,0.0,0.0,6,0,4,4,4,4,5,4,0,0,1,1,1,0,1,0,0
0-1M,2014,0.125,0.5,0.5,0.5,0.5,0.5,0.375,0.0,0.0,0.125,0.375,0.125,0.0,0.125,0.0,0.0,8,1,4,4,4,4,4,3,0,0,1,3,1,0,1,0,0
0-1M,2015,0.167,0.333,0.333,0.333,0.333,0.5,0.167,0.0,0.0,0.333,0.333,0.333,0.0,0.333,0.0,0.0,6,1,2,2,2,2,3,1,0,0,2,2,2,0,2,0,0
0-1M,2016,0.25,0.583,0.583,0.667,0.75,0.5,0.333,0.0,0.083,0.0,0.25,0.083,0.167,0.0,0.083,0.0,12,3,7,7,8,9,6,4,0,1,0,3,1,2,0,1,0
0-1M,2017,0.214,0.429,0.429,0.571,0.571,0.357,0.214,0.0,0.143,0.071,0.357,0.071,0.143,0.071,0.0,0.071,14,3,6,6,8,8,5,3,0,2,1,5,1,2,1,0,1
0-1M,2018,0.1,0.4,0.5,0.65,0.65,0.6,0.3,0.1,0.15,0.1,0.25,0.1,0.25,0.1,0.0,0.05,20,2,8,10,13,13,12,6,2,3,2,5,2,5,2,0,1
0-1M,2019,0.125,0.5,0.625,0.625,0.625,0.625,0.375,0.125,0.0,0.125,0.25,0.125,0.125,0.125,0.0,0.0,16,2,8,10,10,10,10,6,2,0,2,4,2,2,2,0,0
0-1M,2020,0.25,0.417,0.417,0.417,0.417,0.333,0.167,0.0,0.0,0.167,0.417,0.167,0.0,0.167,0.0,0.0,12,3,5,5,5,5,4,2,0,0,2,5,2,0,2,0,0
0-1M,2021,0.125,0.25,0.25,0.375,0.5,0.5,0.125,0.0,0.125,0.125,0.375,0.25,0.25,0.125,0.125,0.0,8,1,2,2,3,4,4,1,0,1,1,3,2,2,1,1,0
0-1M,2022,0.375,0.375,0.75,0.75,0.75,0.375,0.0,0.375,0.0,0.0,0.25,0.0,0.375,0.0,0.0,0.0,8,3,3,6,6,6,3,0,3,0,0,2,0,3,0,0,0
0-1M,2023,0.167,0.25,0.25,0.417,0.417,0.417,0.083,0.0,0.167,0.167,0.417,0.167,0.167,0.167,0.0,0.0,12,2,3,3,5,5,5,1,0,2,2,5,2,2,2,0,0
1-4,2002,0.801,0.855,0.857,0.861,0.842,0.058,0.054,0.002,0.004,0.018,0.139,0.0,0.005,0.0,0.0,0.0,552,442,472,473,475,465,32,30,1,2,10,77,0,3,0,0,0
1-4,2003,0.794,0.853,0.868,0.874,0.851,0.081,0.06,0.015,0.006,0.032,0.117,0.009,0.021,0.009,0.0,0.0,470,373,401,408,411,400,38,28,7,3,15,55,4,10,4,0,0
1-4,2004,0.841,0.916,0.927,0.929,0.91,0.096,0.075,0.01,0.002,0.029,0.061,0.01,0.015,0.008,0.002,0.0,477,401,437,442,443,434,46,36,5,1,14,29,5,7,4,1,0
1-4,2005,0.652,0.833,0.838,0.853,0.814,0.206,0.181,0.005,0.015,0.059,0.127,0.02,0.025,0.015,0.005,0.0,204,133,170,171,174,166,42,37,1,3,12,26,4,5,3,1,0
1-4,2006,0.432,0.746,0.788,0.839,0.78,0.398,0.314,0.042,0.051,0.102,0.119,0.042,0.093,0.042,0.0,0.008,118,51,88,93,99,92,47,37,5,6,12,14,5,11,5,0,1
1-4,2007,0.13,0.623,0.71,0.772,0.765,0.679,0.494,0.086,0.062,0.08,0.154,0.074,0.16,0.062,0.012,0.006,162,21,101,115,125,124,110,80,14,10,13,25,12,26,10,2,1
1-4,2008,0.114,0.646,0.691,0.737,0.743,0.686,0.531,0.046,0.046,0.08,0.177,0.086,0.103,0.074,0.011,0.006,175,20,113,121,129,130,120,93,8,8,14,31,15,18,13,2,1
1-4,2009,0.07,0.69,0.722,0.766,0.753,0.703,0.62,0.032,0.044,0.063,0.184,0.051,0.082,0.044,0.006,0.0,158,11,109,114,121,119,111,98,5,7,10,29,8,13,7,1,0
1-4,2010,0.044,0.67,0.731,0.775,0.78,0.78,0.626,0.06,0.044,0.093,0.126,0.099,0.115,0.088,0.011,0.005,182,8,122,133,141,142,142,114,11,8,17,23,18,21,16,2,1
1-4,2011,0.028,0.695,0.734,0.774,0.768,0.746,0.667,0.04,0.04,0.085,0.147,0.079,0.079,0.079,0.0,0.0,177,5,123,130,137,136,132,118,7,7,15,26,14,14,14,0,0
1-4,2012,0.063,0.563,0.656,0.719,0.719,0.75,0.5,0.094,0.063,0.148,0.133,0.148,0.156,0.148,0.0,0.0,128,8,72,84,92,92,96,64,12,8,19,17,19,20,19,0,0
1-4,2013,0.037,0.375,0.463,0.625,0.647,0.772,0.338,0.088,0.162,0.213,0.14,0.235,0.272,0.213,0.022,0.007,136,5,51,63,85,88,105,46,12,22,29,19,32,37,29,3,1
1-4,2014,0.066,0.412,0.463,0.596,0.596,0.699,0.346,0.051,0.132,0.221,0.184,0.221,0.191,0.213,0.007,0.0,136,9,56,63,81,81,95,47,7,18,30,25,30,26,29,1,0
1-4,2015,0.136,0.407,0.441,0.508,0.542,0.534,0.271,0.034,0.068,0.161,0.297,0.195,0.136,0.161,0.034,0.0,118,16,48,52,60,64,63,32,4,8,19,35,23,16,19,4,0
1-4,2016,0.09,0.372,0.449,0.5,0.526,0.654,0.282,0.077,0.051,0.237,0.237,0.256,0.16,0.231,0.032,0.0,156,14,58,70,78,82,102,44,12,8,37,37,40,25,36,5,0
1-4,2017,0.07,0.367,0.387,0.462,0.492,0.513,0.296,0.02,0.075,0.116,0.392,0.146,0.126,0.116,0.03,0.005,199,14,73,77,92,98,102,59,4,15,23,78,29,25,23,6,1
1-4,2018,0.09,0.417,0.467,0.487,0.508,0.578,0.327,0.05,0.02,0.166,0.327,0.186,0.09,0.166,0.02,0.0,199,18,83,93,97,101,115,65,10,4,33,65,37,18,33,4,0
1-4,2019,0.086,0.459,0.505,0.555,0.568,0.627,0.373,0.045,0.05,0.164,0.268,0.177,0.109,0.164,0.014,0.0,220,19,101,111,122,125,138,82,10,11,36,59,39,24,36,3,0
1-4,2020,0.075,0.292,0.358,0.415,0.425,0.481,0.217,0.066,0.057,0.179,0.396,0.189,0.132,0.179,0.009,0.0,106,8,31,38,44,45,51,23,7,6,19,42,20,14,19,1,0
1-4,2021,0.065,0.315,0.375,0.473,0.489,0.505,0.25,0.06,0.098,0.141,0.37,0.158,0.174,0.141,0.016,0.0,184,12,58,69,87,90,93,46,11,18,26,68,29,32,26,3,0
1-4,2022,0.066,0.32,0.39,0.5,0.518,0.504,0.254,0.07,0.11,0.11,0.373,0.127,0.197,0.11,0.018,0.013,228,15,73,89,114,118,115,58,16,25,25,85,29,45,25,4,3
1-4,2023,0.068,0.296,0.416,0.528,0.556,0.552,0.228,0.12,0.112,0.116,0.328,0.144,0.26,0.116,0.028,0.02,250,17,74,104,132,139,138,57,30,28,29,82,36,65,29,7,5
15-24,2002,0.654,0.744,0.756,0.782,0.821,0.167,0.09,0.013,0.026,0.013,0.167,0.051,0.077,0.013,0.038,0.013,78,51,58,59,61,64,13,7,1,2,1,13,4,6,1,3,1
15-24,2003,0.652,0.73,0.764,0.798,0.775,0.18,0.079,0.034,0.034,0.056,0.169,0.034,0.079,0.022,0.011,0.011,89,58,65,68,71,69,16,7,3,3,5,15,3,7,2,1,1
