year,PCV7s,PCV13s,PCV13s_not7,PPV23s,PPV23s_not13,not_VT,total,prop.PCV7,prop.PCV13,prop.PCV13_not7,prop.PPV23,prop.PPV23_not13,prop.notVT,prop.VT
2006,561,878,317,1041,216,191,1285,0.4365758754863813,0.6832684824902724,0.24669260700389106,0.8101167315175097,0.1680933852140078,0.14863813229571984,0.8513618677042801
2007,361,790,429,986,239,257,1286,0.2807153965785381,0.614307931570762,0.33359253499222397,0.7667185069984448,0.18584758942457233,0.19984447900466562,0.8001555209953344
2008,279,844,565,1073,282,332,1458,0.19135802469135801,0.578875171467764,0.38751714677640603,0.7359396433470508,0.1934156378600823,0.22770919067215364,0.7722908093278463
2009,201,771,570,1002,260,318,1349,0.14899925871015568,0.5715344699777613,0.4225352112676056,0.742772424017791,0.1927353595255745,0.2357301704966642,0.7642698295033358
2010,144,781,637,1006,253,398,1432,0.1005586592178771,0.5453910614525139,0.4448324022346369,0.702513966480447,0.17667597765363127,0.2779329608938548,0.7220670391061452
2011,119,859,740,1121,273,428,1560,0.07628205128205129,0.5506410256410257,0.47435897435897434,0.7185897435897436,0.175,0.2743589743589744,0.7256410256410256
2012,108,785,677,1107,332,450,1567,0.06892150606253988,0.5009572431397575,0.4320357370772176,0.7064454371410338,0.21186981493299298,0.2871729419272495,0.7128270580727505
2013,98,557,459,899,351,442,1350,0.0725925925925926,0.41259259259259257,0.34,0.6659259259259259,0.26,0.3274074074074074,0.6725925925925926
2014,137,527,390,879,356,477,1360,0.10073529411764706,0.3875,0.2867647058823529,0.6463235294117647,0.26176470588235295,0.35073529411764703,0.649264705882353
2015,121,431,310,783,359,487,1277,0.0947533281127643,0.3375097885669538,0.2427564604541895,0.6131558339859045,0.2811276429130775,0.3813625685199687,0.6186374314800314
2016,139,475,336,892,420,589,1484,0.09366576819407008,0.3200808625336927,0.22641509433962265,0.601078167115903,0.2830188679245283,0.396900269541779,0.6030997304582211
2017,182,593,411,1116,526,696,1815,0.10027548209366391,0.32672176308539946,0.22644628099173553,0.6148760330578512,0.2898071625344353,0.3834710743801653,0.6165289256198347
2018,198,596,398,1110,519,670,1785,0.11092436974789915,0.33389355742296917,0.22296918767507004,0.6218487394957983,0.2907563025210084,0.3753501400560224,0.6246498599439776
2019,192,663,471,1181,520,670,1853,0.10361575822989746,0.3577981651376147,0.2541824069077172,0.6373448461953589,0.28062601187263897,0.36157582298974633,0.6384241770102537
