age,strains,dis_multiplier
0,1,1.0
1,2,1.0
2,3,1.0
3,4,1.0
4,5,1.0
5,6A,1.0
6,6B,1.0
7,6C,1.0
8,6D,1.0
9,6H,1.0
10,7F,1.0
11,7A,1.0
12,7B,1.0
13,7C,1.0
14,7D,1.0
15,8,1.0
16,9A,1.0
17,9L,1.0
18,9N,1.0
19,9V,1.0
20,10F,1.0
21,10A,1.0
22,10B,1.0
23,10C,1.0
24,10D,1.0
25,11A,1.0
26,11B,1.0
27,11C,1.0
28,11D,1.0
29,11E,1.0
30,12F,1.0
31,12B,1.0
32,13,1.0
33,14,1.0
34,15F,1.0
35,15A,1.0
36,15B,1.0
37,15C,1.0
38,16F,1.0
39,16A,1.0
40,17F,1.0
41,17A,1.0
42,18F,1.0
43,18A,1.0
44,18B,1.0
45,18C,1.0
46,19F,1.0
47,19A,1.0
48,19B,1.0
49,19C,1.0
50,20A,1.0
51,20B,1.0
52,21,1.0
53,22F,1.0
54,22A,1.0
55,23F,1.0
56,23A,1.0
57,23B,1.0
58,24F,1.0
59,24A,1.0
60,24B,1.0
61,24C,1.0
62,25F,1.0
63,25A,1.0
64,27,1.0
65,28F,1.0
66,28A,1.0
67,29,1.0
68,31,1.0
69,32F,1.0
70,32A,1.0
71,33F,1.0
72,33A,1.0
73,33B,1.0
74,33C,1.0
75,33D,1.0
76,34,1.0
77,35F,1.0
78,35A,1.0
79,35B,1.0
80,35C,1.0
81,35D,1.0
82,36,1.0
83,37,1.0
84,38,1.0
85,39,1.0
86,40,1.0
87,41F,1.0
88,41A,1.0
89,42,1.0
90,43,1.0
91,44,1.0
92,45,1.0
93,46,1.0
94,47F,1.0
95,47A,1.0
96,48,1.0
97,1,1.0
98,2,1.0
99,3,1.0
100,4,1.0
101,5,1.0
0,6A,1.0
1,6B,1.0
2,6C,1.0
3,6D,1.0
4,6H,1.0
5,7F,1.0
6,7A,1.0
7,7B,1.0
8,7C,1.0
9,7D,1.0
10,8,1.0
11,9A,1.0
12,9L,1.0
13,9N,1.0
14,9V,1.0
15,10F,1.0
16,10A,1.0
17,10B,1.0
18,10C,1.0
19,10D,1.0
20,11A,1.0
21,11B,1.0
22,11C,1.0
23,11D,1.0
24,11E,1.0
25,12F,1.0
26,12B,1.0
27,13,1.0
28,14,1.0
29,15F,1.0
30,15A,1.0
31,15B,1.0
32,15C,1.0
33,16F,1.0
34,16A,1.0
35,17F,1.0
36,17A,1.0
37,18F,1.0
38,18A,1.0
39,18B,1.0
40,18C,1.0
41,19F,1.0
42,19A,1.0
43,19B,1.0
44,19C,1.0
45,20A,1.0
46,20B,1.0
47,21,1.0
48,22F,1.0
49,22A,1.0
50,23F,1.0
51,23A,1.0
52,23B,1.0
53,24F,1.0
54,24A,1.0
55,24B,1.0
56,24C,1.0
57,25F,1.0
58,25A,1.0
59,27,1.0
60,28F,1.0
