serotype,transmission_multipliers,7vPCV,13vPCV,23vPPV,15vPCV,20vPCV,V116,non13vPCV,non23vPPV-non13vPCV
1,1.0063,false,true,true,true,true,false,false,false
2,0.995,false,false,true,false,false,false,true,false
3,1.0063,false,true,true,true,true,true,false,false
4,1.009,true,false,true,true,true,false,false,false
5,1.0063,false,true,true,true,true,false,false,false
6A,1.0063,false,true,false,true,true,true,false,false
6B,1.009,true,false,true,true,true,false,false,false
6C,0.995,false,false,false,false,false,false,true,true
6D,0.995,false,false,false,false,false,false,true,true
6H,0.995,false,false,false,false,false,false,true,true
7F,1.0063,false,true,true,true,true,true,false,false
7A,0.995,false,false,false,false,false,false,true,true
7B,0.995,false,false,false,false,false,false,true,true
7C,0.995,false,false,false,false,false,false,true,true
7D,0.995,false,false,false,false,false,false,true,true
8,0.995,false,false,true,false,true,true,true,false
9A,0.995,false,false,false,false,false,false,true,true
9L,0.995,false,false,false,false,false,false,true,true
9N,0.995,false,false,true,false,false,true,true,false
9V,1.009,true,false,true,true,true,false,false,false
10F,0.995,false,false,false,false,false,false,true,true
10A,0.995,false,false,true,false,true,true,true,false
10B,0.995,false,false,false,false,false,false,true,true
10C,0.995,false,false,false,false,false,false,true,true
10D,0.995,false,false,false,false,false,false,true,true
11A,0.995,false,false,true,false,true,true,true,false
11B,0.995,false,false,false,false,false,false,true,true
11C,0.995,false,false,false,false,false,false,true,true
11D,0.995,false,false,false,false,false,false,true,true
11E,0.995,false,false,false,false,false,false,true,true
12F,0.995,false,false,true,false,true,true,true,false
12B,0.995,false,false,false,false,false,false,true,true
13,0.995,false,false,false,false,false,false,true,true
14,1.009,true,false,true,true,true,false,false,false
15F,0.995,false,false,false,false,false,false,true,true
15A,0.995,false,false,false,false,false,true,true,true
15B,0.995,false,false,true,false,true,false,true,false
15C,0.995,false,false,false,false,false,true,true,true
16F,0.995,false,false,false,false,false,true,true,true
16A,0.995,false,false,false,false,false,false,true,true
17F,0.995,false,false,true,false,false,true,true,false
17A,0.995,false,false,false,false,false,false,true,true
18F,0.995,false,false,false,false,false,false,true,true
18A,0.995,false,false,false,false,false,false,true,true
18B,0.995,false,false,false,false,false,false,true,true
18C,1.009,true,false,true,true,true,false,false,false
19F,1.009,true,false,true,true,true,false,false,false
19A,1.0063,false,true,true,true,true,true,false,false
19B,0.995,false,false,false,false,false,false,true,true
19C,0.995,false,false,false,false,false,false,true,true
20A,0.995,false,false,true,false,false,true,true,false
20B,0.995,false,false,false,false,false,false,true,true
21,0.995,false,false,false,false,false,false,true,true
22F,0.995,false,false,true,true,true,true,true,false
22A,0.995,false,false,false,false,false,false,true,true
23F,1.009,true,false,true,true,true,false,false,false
23A,0.995,false,false,false,false,false,true,true,true
23B,0.995,false,false,false,false,false,true,true,true
24F,0.995,false,false,false,false,false,true,true,true
24A,0.995,false,false,false,false,false,false,true,true
24B,0.995,false,false,false,false,false,false,true,true
24C,0.995,false,false,false,false,false,false,true,true
25F,0.995,false,false,false,false,false,false,true,true
25A,0.995,false,false,false,false,false,false,true,true
27,0.995,false,false,false,false,false,false,true,true
28F,0.995,false,false,false,false,false,false,true,true
28A,0.995,false,false,false,false,false,false,true,true
29,0.995,false,false,false,false,false,false,true,true
31,0.995,false,false,false,false,false,true,true,true
32F,0.995,false,false,false,false,false,false,true,true
32A,0.995,false,false,false,false,false,false,true,true
33F,0.995,false,false,true,true,true,true,true,false
33A,0.995,false,false,false,false,false,false,true,true
33B,0.995,false,false,false,false,false,false,true,true
33C,0.995,false,false,false,false,false,false,true,true
33D,0.995,false,false,false,false,false,false,true,true
34,0.995,false,false,false,false,false,false,true,true
35F,0.995,false,false,false,false,false,false,true,true
35A,0.995,false,false,false,false,false,false,true,true
35B,0.995,false,false,false,false,false,true,true,true
35C,0.995,false,false,false,false,false,false,true,true
35D,0.995,false,false,false,false,false,false,true,true
36,0.995,false,false,false,false,false,false,true,true
37,0.995,false,false,false,false,false,false,true,true
38,0.995,false,false,false,false,false,false,true,true
39,0.995,false,false,false,false,false,false,true,true
40,0.995,false,false,false,false,false,false,true,true
41F,0.995,false,false,false,false,false,false,true,true
41A,0.995,false,false,false,false,false,false,true,true
42,0.995,false,false,false,false,false,false,true,true
43,0.995,false,false,false,false,false,false,true,true
44,0.995,false,false,false,false,false,false,true,true
45,0.995,false,false,false,false,false,false,true,true
46,0.995,false,false,false,false,false,false,true,true
47F,0.995,false,false,false,false,false,false,true,true
47A,0.995,false,false,false,false,false,false,true,true
48,0.995,false,false,false,false,false,false,true,true
