vaccine_type,no_of_doses,exposed_strains,meanlog,sdlog
pcv7_30,2,17A,-9.0,1e-12
pcv13_21,3,35A,-9.0,1e-12
pcv13_30,2,32A,-9.0,1e-12
pcv13_21,3,47A,-9.0,1e-12
pcv13_30,2,17F,-9.0,1e-12
pcv13_21,3,20A,-9.0,1e-12
pcv13_21,2,19B,-9.0,1e-12
pcv13_30,0,11A,-9.0,1e-12
pcv13_21,1,8,-9.0,1e-12
pcv7_30,1,18A,-9.0,1e-12
pcv7_30,3,41A,-9.0,1e-12
ppsv23,0,11D,-9.0,1e-12
pcv13_30,1,21,-9.0,1e-12
pcv13_catchup,4,33A,-9.0,1e-12
pcv13_30,0,15A,-9.0,1e-12
"",0,33B,-9.0,1e-12
pcv7_30,1,24F,-9.0,1e-12
pcv13_30,0,19A,-9.0,1e-12
pcv13_21,3,24F,-9.0,1e-12
pcv13_30,1,34,-9.0,1e-12
pcv13_30,1,38,-9.0,1e-12
pcv7_30,2,20A,-9.0,1e-12
pcv13_30,2,33C,-9.0,1e-12
pcv7_30,3,15C,-9.0,1e-12
pcv13_21,2,9N,-9.0,1e-12
pcv7_30,3,33B,-9.0,1e-12
pcv13_30,0,16A,-9.0,1e-12
pcv13_21,2,10C,-9.0,1e-12
pcv13_21,1,43,-9.0,1e-12
pcv13_21,1,23A,-9.0,1e-12
pcv13_catchup,4,10A,-9.0,1e-12
pcv13_30,0,6A,-9.0,1e-12
pcv13_21,2,35D,-9.0,1e-12
pcv13_30,1,15C,-9.0,1e-12
pcv7_30,2,9V,0.47940047038184513,0.3520599529618155
pcv13_30,2,19A,0.4778091662270582,0.3522190833772942
pcv13_30,2,16F,-9.0,1e-12
ppsv23,1,7F,1.1438245848979296,0.2856175415102071
pcv7_30,1,17F,-9.0,1e-12
pcv13_30,2,23B,-9.0,1e-12
ppsv23,0,33B,-9.0,1e-12
ppsv23,1,38,-9.0,1e-12
pcv13_21,0,24B,-9.0,1e-12
ppsv23,0,9L,-9.0,1e-12
pcv13_30,1,23F,-0.419363513,0.4
ppsv23,0,6C,-9.0,1e-12
"",0,4,-9.0,1e-12
"",0,44,-9.0,1e-12
pcv13_30,1,1,-0.158107461,0.4
"",0,28F,-9.0,1e-12
pcv13_21,2,22A,-9.0,1e-12
pcv7_30,3,21,-9.0,1e-12
pcv13_30,0,22A,-9.0,1e-12
pcv13_21,1,22A,-9.0,1e-12
pcv13_21,2,10A,-9.0,1e-12
pcv7_30,1,6A,-9.0,1e-12
ppsv23,0,29,-9.0,1e-12
pcv13_catchup,4,1,-9.0,1e-12
pcv13_21,3,35C,-9.0,1e-12
"",0,7D,-9.0,1e-12
"",0,37,-9.0,1e-12
ppsv23,1,34,-9.0,1e-12
pcv7_30,1,34,-9.0,1e-12
pcv13_30,0,25A,-9.0,1e-12
pcv7_30,3,6B,1.0007083641084253,0.2999291635891575
"",0,33A,-9.0,1e-12
pcv13_30,1,19F,0.279324357,0.4
pcv7_30,1,33C,-9.0,1e-12
pcv13_catchup,4,12B,-9.0,1e-12
pcv13_catchup,4,33D,-9.0,1e-12
pcv7_30,1,9N,-9.0,1e-12
pcv13_30,1,44,-9.0,1e-12
"",0,15B,-9.0,1e-12
pcv13_catchup,4,13,-9.0,1e-12
ppsv23,1,11D,-9.0,1e-12
pcv13_21,3,22F,-9.0,1e-12
ppsv23,0,33F,-9.0,1e-12
pcv13_21,0,35F,-9.0,1e-12
pcv7_30,2,45,-9.0,1e-12
pcv7_30,0,23F,-9.0,1e-12
pcv13_21,0,13,-9.0,1e-12
"",0,13,-9.0,1e-12
pcv13_21,2,45,-9.0,1e-12
ppsv23,0,31,-9.0,1e-12
pcv7_30,2,34,-9.0,1e-12
pcv13_21,1,7B,-9.0,1e-12
pcv13_21,1,32A,-9.0,1e-12
pcv13_30,0,6H,-9.0,1e-12
pcv7_30,0,20A,-9.0,1e-12
pcv7_30,3,15F,-9.0,1e-12
pcv13_30,3,6A,1.0591571957844081,0.2940842804215592
pcv13_21,0,34,-9.0,1e-12
pcv13_21,0,42,-9.0,1e-12
pcv13_30,2,9L,-9.0,1e-12
pcv7_30,0,15F,-9.0,1e-12
ppsv23,1,11E,-9.0,1e-12
pcv7_30,3,47F,-9.0,1e-12
ppsv23,0,6H,-9.0,1e-12
pcv7_30,1,25A,-9.0,1e-12
