# Australian birth rates - 2002-2042 actual and projected data taken from 
# https://www.macrotrends.net/countries/AUS/australia/birth-rate
# columns:
#   0=birth rate 
#   1=year
0.012946 0
0.012801 1
0.013001 2
0.013201 3
0.0134 4
0.0136 5
0.0138 6
0.013716 7
0.013632 8
0.013547 9
0.013463 10
0.013379 11
0.013279 12
0.013179 13
0.013079 14
0.012979 15
0.012879 16
0.01272 17
0.012561 18
0.012403 19
0.012244 20
0.012085 21
0.011939 22
0.011792 23
0.011646 24
0.011499 25
0.011353 26
0.011263 27
0.011174 28
0.011084 29
0.010995 30
0.010905 31
0.010879 32
0.010853 33
0.010826 34
0.0108 35
0.010774 36
0.01079 37
0.010807 38
0.010823 39
0.01084 40
