# Australian migration rates - 2002-2042 actual and projected data taken from 
# https://www.macrotrends.net/countries/AUS/australia/net-migration#:~:text=The%20net%20migration%20rate%20for,a%204%25%20decline%20from%202019
# columns:
#   0=migration rate 
#   1=year
0.005655 0
0.006018 1
0.007103 2
0.008187 3
0.009272 4
0.010356 5
0.011441 6
0.01087 7
0.010299 8
0.009729 9
0.009158 10
0.008587 11
0.00815 12
0.007713 13
0.007277 14
0.00684 15
0.006403 16
0.006157 17
0.005911 18
0.005665 19
0.005419 20
0.005173 21
0.005155 22
0.005136 23
0.005118 24
0.005099 25
0.005081 26
0.005077 27
0.005074 28
0.00507 29
0.005067 30
0.005063 31
0.005022 32
0.004982 33
0.004941 34
0.004901 35
0.00486 36
0.004826 37
0.004792 38
0.004757 39
0.004723 40
0.004723 41
